WeekEnding,Country,AgeGroup,CardioAdmissions,Average20182019,PercentVariation
20230129,S92000003,Under 65,151,224.5,-32.7
20230205,S92000003,65 and over,194,237.5,-18.3
20230205,S92000003,Under 65,217,225,-3.6
20230212,S92000003,65 and over,152,220,-30.9
20230212,S92000003,Under 65,191,209,-8.6
20230219,S92000003,65 and over,192,229.5,-16.3
20230219,S92000003,Under 65,200,234.5,-14.7
20230226,S92000003,65 and over,192,206.5,-7
20230226,S92000003,Under 65,211,216,-2.3
20230305,S92000003,65 and over,169,225,-24.9
20230305,S92000003,Under 65,180,225.5,-20.2
20230312,S92000003,65 and over,213,226.5,-6
20230312,S92000003,Under 65,218,232.5,-6.2
20230319,S92000003,65 and over,207,212.5,-2.6
20230319,S92000003,Under 65,206,225.5,-8.6
20230326,S92000003,65 and over,186,227.5,-18.2
20230326,S92000003,Under 65,221,207,6.8
20230402,S92000003,65 and over,193,199.5,-3.3
20230402,S92000003,Under 65,192,212.5,-9.6
20230409,S92000003,65 and over,182,221.5,-17.8
20230409,S92000003,Under 65,173,211,-18
20230416,S92000003,65 and over,211,225.5,-6.4
20230416,S92000003,Under 65,224,220.5,1.6
20230423,S92000003,65 and over,197,205,-3.9
20230423,S92000003,Under 65,197,232.5,-15.3
20230430,S92000003,65 and over,216,226,-4.4
20230430,S92000003,Under 65,210,213.5,-1.6
20230507,S92000003,65 and over,214,190,12.6
20230507,S92000003,Under 65,225,205,9.8
20230514,S92000003,65 and over,189,207,-8.7
20230514,S92000003,Under 65,195,238,-18.1
20230521,S92000003,65 and over,206,195.5,5.4
20230521,S92000003,Under 65,204,211,-3.3
