WeekEnding,Country,SIMDQuintile,CardioAdmissions,Average20182019,PercentVariation
20210711,S92000003,3,100,76.5,30.7
20210711,S92000003,4,89,76,17.1
20210711,S92000003,5,69,54.5,26.6
20210718,S92000003,1,87,100.5,-13.4
20210718,S92000003,2,80,90.5,-11.6
20210718,S92000003,3,71,71,-0
20210718,S92000003,4,72,79.5,-9.4
20210718,S92000003,5,57,45,26.7
20210725,S92000003,1,79,108.5,-27.2
20210725,S92000003,2,84,79.5,5.7
20210725,S92000003,3,73,75.5,-3.3
20210725,S92000003,4,83,70.5,17.7
20210725,S92000003,5,46,55.5,-17.1
20210801,S92000003,1,88,96.5,-8.8
20210801,S92000003,2,60,84.5,-29
20210801,S92000003,3,64,90.5,-29.3
20210801,S92000003,4,70,76.5,-8.5
20210801,S92000003,5,54,52,3.8
20210808,S92000003,1,92,96,-4.2
20210808,S92000003,2,79,85,-7.1
20210808,S92000003,3,81,80,1.2
20210808,S92000003,4,93,79,17.7
20210808,S92000003,5,51,44.5,14.6
20210815,S92000003,1,102,101,1
20210815,S92000003,2,90,79,13.9
20210815,S92000003,3,101,83.5,21
20210815,S92000003,4,94,77.5,21.3
20210815,S92000003,5,79,63,25.4
20210822,S92000003,1,90,130.5,-31
20210822,S92000003,2,78,87.5,-10.9
20210822,S92000003,3,91,87.5,4
20210822,S92000003,4,82,87,-5.7
20210822,S92000003,5,53,67.5,-21.5
20210829,S92000003,1,90,108,-16.7
20210829,S92000003,2,91,96,-5.2
20210829,S92000003,3,91,96,-5.2
20210829,S92000003,4,76,87,-12.6
20210829,S92000003,5,45,65,-30.8
20210905,S92000003,1,83,98.5,-15.7
20210905,S92000003,2,72,81,-11.1
20210905,S92000003,3,82,77,6.5
20210905,S92000003,4,85,82.5,3
20210905,S92000003,5,62,59,5.1
20210912,S92000003,1,105,100,5
20210912,S92000003,2,72,88.5,-18.6
20210912,S92000003,3,81,81,-0
20210912,S92000003,4,88,79,11.4
20210912,S92000003,5,68,63.5,7.1
20210919,S92000003,1,101,114.5,-11.8
20210919,S92000003,2,75,94.5,-20.6
20210919,S92000003,3,77,81.5,-5.5
20210919,S92000003,4,86,75.5,13.9
20210919,S92000003,5,51,54.5,-6.4
20210926,S92000003,1,77,119.5,-35.6
20210926,S92000003,2,86,97,-11.3
20210926,S92000003,3,90,96.5,-6.7
20210926,S92000003,4,88,90.5,-2.8
20210926,S92000003,5,43,59,-27.1
20211003,S92000003,1,70,104.5,-33
20211003,S92000003,2,82,86.5,-5.2
20211003,S92000003,3,89,70.5,26.2
20211003,S92000003,4,76,88,-13.6
20211003,S92000003,5,58,64.5,-10.1
20211010,S92000003,1,91,107,-15
20211010,S92000003,2,80,87,-8
20211010,S92000003,3,73,80.5,-9.3
20211010,S92000003,4,85,81.5,4.3
20211010,S92000003,5,61,60,1.7
20211017,S92000003,1,92,111.5,-17.5
20211017,S92000003,2,80,98.5,-18.8
20211017,S92000003,3,90,81.5,10.4
20211017,S92000003,4,89,78,14.1
20211017,S92000003,5,55,53,3.8
20211024,S92000003,1,95,98.5,-3.6
20211024,S92000003,2,88,90.5,-2.8
20211024,S92000003,3,90,85,5.9
20211024,S92000003,4,82,80,2.5
20211024,S92000003,5,68,53.5,27.1
20211031,S92000003,1,87,110,-20.9
20211031,S92000003,2,83,81,2.5
20211031,S92000003,3,84,74,13.5
20211031,S92000003,4,79,82.5,-4.2
20211031,S92000003,5,67,58.5,14.5
20211107,S92000003,1,97,106,-8.5
20211107,S92000003,2,66,84,-21.4
20211107,S92000003,3,77,90.5,-14.9
