Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,DailyDeaths,DailyDeathsQF,CumulativeDeaths,CumulativeDeathsQF,CrudeRateDeaths,CrudeRateDeathsQF,FirstInfections,FirstInfectionsCumulative,Reinfections,ReinfectionsCumulative,PercentReinfections,PercentReinfectionsCumulative
20211226,S92000003,4,1596,168290,0,,1592,,142.83650692963417,,1513,166023,83,2267,5.200501253132832,1.3470794461940698
20211226,S92000003,5,1592,169449,0,,1312,,120.00859817700352,,1508,167115,84,2334,5.276381909547739,1.3774055910627976
20211227,S92000003,1,3876,205554,3,,2821,,260.54582549433053,,3528,201767,348,3787,8.978328173374614,1.8423382663436372
20211227,S92000003,2,3818,189715,0,,2347,,216.55766505255696,,3487,186664,331,3051,8.669460450497644,1.6082017763487335
20211227,S92000003,3,3377,164158,0,,1820,,166.71536831730148,,3124,161692,253,2466,7.49185667752443,1.502211284250539
20211227,S92000003,4,3935,172225,3,,1595,,143.1056712014865,,3649,169672,286,2553,7.268106734434562,1.4823631876905212
20211227,S92000003,5,3736,173185,3,,1315,,120.28300808137168,,3487,170602,249,2583,6.664882226980728,1.491468660680775
20211228,S92000003,1,4335,209889,2,,2823,,260.73054426462073,,3876,205643,459,4246,10.588235294117649,2.022974048187375
20211228,S92000003,2,4040,193755,2,,2349,,216.742205031298,,3702,190366,338,3389,8.366336633663366,1.7491161518412428
20211228,S92000003,3,3751,167909,4,,1824,,167.08177572019665,,3483,165175,268,2734,7.144761396960811,1.6282629281336916
20211228,S92000003,4,3965,176190,3,,1598,,143.37483547333883,,3687,173359,278,2831,7.011349306431273,1.6067881264543955
20211228,S92000003,5,3745,176930,3,,1318,,120.55741798573985,,3497,174099,248,2831,6.622162883845127,1.600067823432996
20211229,S92000003,1,5311,215200,4,,2827,,261.09998180520114,,4699,210342,612,4858,11.523253624552815,2.257434944237918
20211229,S92000003,2,4950,198705,2,,2351,,216.92674501003896,,4485,194851,465,3854,9.393939393939394,1.9395586422082989
20211229,S92000003,3,4556,172465,1,,1825,,167.17337757092045,,4191,169366,365,3099,8.011413520632134,1.796886324761546
20211229,S92000003,4,4518,180708,1,,1599,,143.4645568972896,,4177,177536,341,3172,7.5475874280655155,1.7553179715341878
20211229,S92000003,5,4159,181089,1,,1319,,120.64888795386254,,3833,177932,326,3157,7.838422697763885,1.7433416717746522
20211230,S92000003,1,4915,220115,4,,2831,,261.46941934578155,,4356,214698,559,5417,11.373346897253306,2.4609863026145424
20211230,S92000003,2,4680,203385,2,,2353,,217.11128498877997,,4233,199084,447,4301,9.551282051282053,2.1147085576615776
20211230,S92000003,3,4248,176713,2,,1827,,167.35658127236803,,3866,173232,382,3481,8.992467043314502,1.9698607346375197
20211230,S92000003,4,4251,184959,1,,1600,,143.55427832124036,,3926,181462,325,3497,7.64525993883792,1.8906892878962365
20211230,S92000003,5,4049,185138,0,,1319,,120.64888795386254,,3753,181685,296,3453,7.310447023956533,1.865095226263652
20211231,S92000003,1,3696,223811,0,,2831,,261.46941934578155,,3250,217948,446,5863,12.067099567099566,2.619621019520935
20211231,S92000003,2,3637,207022,3,,2356,,217.38809495689148,,3277,202361,360,4661,9.898267803134452,2.251451536551671
20211231,S92000003,3,3504,180217,2,,1829,,167.5397849738156,,3204,176436,300,3781,8.561643835616438,2.0980262683320663
20211231,S92000003,4,3626,188585,0,,1600,,143.55427832124036,,3357,184819,269,3766,7.418643132928847,1.996977490256383
20211231,S92000003,5,3272,188410,4,,1323,,121.0147678263534,,3036,184721,236,3689,7.212713936430318,1.957964014648904
20220101,S92000003,1,1488,225299,1,,2832,,261.5617787309266,,1338,219286,150,6013,10.080645161290322,2.6688977758445445
20220101,S92000003,2,1557,208579,3,,2359,,217.66490492500296,,1423,203784,134,4795,8.606294155427104,2.298889149914421
20220101,S92000003,3,1342,181559,1,,1830,,167.6313868245394,,1243,177679,99,3880,7.377049180327869,2.137046359585589
20220101,S92000003,4,1466,190051,4,,1604,,143.9131640170435,,1367,186186,99,3865,6.753069577080491,2.0336646479102978
20220101,S92000003,5,1481,189891,0,,1323,,121.0147678263534,,1390,186111,91,3780,6.144496961512491,1.9906156689890515
20220102,S92000003,1,3239,228538,2,,2834,,261.7464975012169,,2861,222147,378,6391,11.670268601420192,2.7964714839545284
20220102,S92000003,2,3175,211754,2,,2361,,217.84944490374397,,2857,206641,318,5113,10.015748031496065,2.4145942933781654
20220102,S92000003,3,2887,184446,2,,1832,,167.814590525987,,2645,180324,242,4122,8.382403879459646,2.234800429393969
20220102,S92000003,4,3327,193378,2,,1606,,144.09260686494503,,3065,189251,262,4127,7.874962428614367,2.1341621073751926
20220102,S92000003,5,3008,192899,0,,1323,,121.0147678263534,,2821,188932,187,3967,6.216755319148936,2.0565166226885574
20220103,S92000003,1,4210,232748,1,,2835,,261.83885688636195,,3711,225858,499,6890,11.852731591448933,2.9602832247752935
20220103,S92000003,2,4137,215891,1,,2362,,217.9417148931145,,3769,210410,368,5481,8.895334783659656,2.538781144188502
20220103,S92000003,3,3513,187959,2,,1834,,167.99779422743455,,3219,183543,294,4416,8.368915456874467,2.3494485499497233
20220103,S92000003,4,3994,197372,2,,1608,,144.27204971284658,,3672,192923,322,4449,8.062093139709564,2.2541191253065276
20220103,S92000003,5,3638,196537,1,,1324,,121.10623779447614,,3351,192283,287,4254,7.8889499725123695,2.1644779354523576
20220104,S92000003,1,4493,237241,4,,2839,,262.20829442694236,,3919,229777,574,7464,12.775428444246606,3.1461678209078534
20220104,S92000003,2,4270,220161,4,,2366,,218.31079485059644,,3815,214225,455,5936,10.655737704918034,2.69620868364515
20220104,S92000003,3,3582,191541,4,,1838,,168.36420163032977,,3245,186788,337,4753,9.408151870463428,2.481453057047838
20220104,S92000003,4,3861,201233,4,,1612,,144.6309354086497,,3524,196447,337,4786,8.728308728308729,2.378337549010351
20220104,S92000003,5,3624,200161,4,,1328,,121.472117666967,,3336,195619,288,4542,7.947019867549669,2.2691733154810376
20220105,S92000003,1,5164,242405,5,,2844,,262.67009135266784,,4579,234356,585,8049,11.32842757552285,3.320476062787484
20220105,S92000003,2,4822,224983,2,,2368,,218.4953348293374,,4366,218591,456,6392,9.456656988801328,2.8411035500460033
20220105,S92000003,3,4459,196000,0,,1838,,168.36420163032977,,4116,190904,343,5096,7.6923076923076925,2.6
20220105,S92000003,4,4184,205417,2,,1614,,144.81037825655122,,3879,200326,305,5091,7.289674952198853,2.4783732602462307
20220105,S92000003,5,3899,204060,1,,1329,,121.5635876350897,,3628,199247,271,4813,6.9505001282380094,2.3586200137214544
