month_of_delay,hbt,age_group,number_of_delayed_bed_days,average_daily_number_of_delayed_beds
2016-12-01,S08000032,18-74,1716,55
2016-12-01,S08000032,75plus,4570,147
2016-12-01,S92000003,18plus,45067,1454
2016-12-01,S92000003,18-74,14072,454
2016-12-01,S92000003,75plus,30995,1000
2017-01-01,S08000015,18plus,3262,105
2017-01-01,S08000015,18-74,582,19
2017-01-01,S08000015,75plus,2680,86
2017-01-01,S08000016,18plus,912,29
2017-01-01,S08000016,18-74,252,8
2017-01-01,S08000016,75plus,660,21
2017-01-01,S08000017,18plus,1139,37
2017-01-01,S08000017,18-74,243,8
2017-01-01,S08000017,75plus,896,29
2017-01-01,S08000019,18plus,2492,80
2017-01-01,S08000019,18-74,771,25
2017-01-01,S08000019,75plus,1721,56
2017-01-01,S08000020,18plus,4642,150
2017-01-01,S08000020,18-74,1419,46
2017-01-01,S08000020,75plus,3223,104
2017-01-01,S08000022,18plus,3801,123
2017-01-01,S08000022,18-74,636,21
2017-01-01,S08000022,75plus,3165,102
2017-01-01,S08000024,18plus,10078,325
2017-01-01,S08000024,18-74,3087,100
2017-01-01,S08000024,75plus,6991,226
2017-01-01,S08000025,18plus,68,2
2017-01-01,S08000025,18-74,12,0
2017-01-01,S08000025,75plus,56,2
2017-01-01,S08000026,18plus,94,3
2017-01-01,S08000026,18-74,12,0
2017-01-01,S08000026,75plus,82,3
2017-01-01,S08000028,18plus,971,31
2017-01-01,S08000028,18-74,367,12
2017-01-01,S08000028,75plus,604,19
2017-01-01,S08000029,18plus,2104,68
2017-01-01,S08000029,18-74,691,22
2017-01-01,S08000029,75plus,1413,46
2017-01-01,S08000030,18plus,3688,119
2017-01-01,S08000030,18-74,1241,40
2017-01-01,S08000030,75plus,2447,79
2017-01-01,S08000031,18plus,5136,166
2017-01-01,S08000031,18-74,2678,86
2017-01-01,S08000031,75plus,2458,79
2017-01-01,S08000032,18plus,5835,188
2017-01-01,S08000032,18-74,1543,50
2017-01-01,S08000032,75plus,4292,138
2017-01-01,S92000003,18plus,44222,1427
2017-01-01,S92000003,18-74,13534,437
2017-01-01,S92000003,75plus,30688,990
2017-02-01,S08000015,18plus,2938,105
2017-02-01,S08000015,18-74,404,14
2017-02-01,S08000015,75plus,2534,91
2017-02-01,S08000016,18plus,693,25
2017-02-01,S08000016,18-74,165,6
2017-02-01,S08000016,75plus,528,19
2017-02-01,S08000017,18plus,760,27
2017-02-01,S08000017,18-74,243,9
2017-02-01,S08000017,75plus,517,18
2017-02-01,S08000019,18plus,2628,94
2017-02-01,S08000019,18-74,809,29
2017-02-01,S08000019,75plus,1819,65
2017-02-01,S08000020,18plus,3806,136
2017-02-01,S08000020,18-74,1169,42
2017-02-01,S08000020,75plus,2637,94
2017-02-01,S08000022,18plus,3821,136
2017-02-01,S08000022,18-74,577,21
2017-02-01,S08000022,75plus,3244,116
2017-02-01,S08000024,18plus,9049,323
2017-02-01,S08000024,18-74,2551,91
2017-02-01,S08000024,75plus,6498,232
2017-02-01,S08000025,18plus,64,2
2017-02-01,S08000025,18-74,14,1
2017-02-01,S08000025,75plus,50,2
2017-02-01,S08000026,18plus,70,3
2017-02-01,S08000026,18-74,8,0
2017-02-01,S08000026,75plus,62,2
2017-02-01,S08000028,18plus,656,23
2017-02-01,S08000028,18-74,214,8
2017-02-01,S08000028,75plus,442,16
2017-02-01,S08000029,18plus,1699,61
2017-02-01,S08000029,18-74,630,23
2017-02-01,S08000029,75plus,1069,38
2017-02-01,S08000030,18plus,3271,117
2017-02-01,S08000030,18-74,1225,44
2017-02-01,S08000030,75plus,2046,73
2017-02-01,S08000031,18plus,4863,174
2017-02-01,S08000031,18-74,2279,81
2017-02-01,S08000031,75plus,2584,92
2017-02-01,S08000032,18plus,5928,212
2017-02-01,S08000032,18-74,1749,62
2017-02-01,S08000032,75plus,4179,149
2017-02-01,S92000003,18plus,40246,1437
2017-02-01,S92000003,18-74,12037,430
2017-02-01,S92000003,75plus,28209,1007
2017-03-01,S08000015,18plus,2056,66
2017-03-01,S08000015,18-74,325,10
2017-03-01,S08000015,75plus,1731,56
2017-03-01,S08000016,18plus,890,29
2017-03-01,S08000016,18-74,255,8
2017-03-01,S08000016,75plus,635,20
2017-03-01,S08000017,18plus,702,23
2017-03-01,S08000017,18-74,233,8
2017-03-01,S08000017,75plus,469,15
2017-03-01,S08000019,18plus,2235,72
2017-03-01,S08000019,18-74,618,20
2017-03-01,S08000019,75plus,1617,52
2017-03-01,S08000020,18plus,3967,128
2017-03-01,S08000020,18-74,1175,38
